date,country,reported_cases,reported_cases_cumulative,predicted_infections_mean_cumulative,predicted_infections_lower_CI_95_cumulative,predicted_infections_higher_CI_95_cumulative,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95,reported_deaths,reported_deaths_cumulative,estimated_deaths_mean_cumulative,estimated_deaths_lower_CI_95_cumulative,estimated_deaths_higher_CI_95_cumulative,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R(t),time_varying_reproduction_number_R(t)_lower_CI_95,time_varying_reproduction_number_R(t)_higher_CI_95
2020-03-17,Germany,1174,5997,102416.94096268,74972.9421485464,139548.085963335,21268.266356283002,16087.9052011518,28037.7167205254,1,13,22.0921823921415,12.897993036731698,35.2419590410092,5.01805877178245,3.33163634606169,7.23485641858568,3.6586051781630298,2.9784123285432007,4.3790021063555695
2020-03-18,Germany,1144,7141,129203.356880494,94963.4989468596,175349.25708655402,26786.4159178136,19990.556798313202,35801.171123219305,0,13,28.541851217405,17.3267092198035,44.297914205735594,6.44966882526351,4.42871618307188,9.05595516472649,3.65767182655653,2.9778206791072703,4.37778008947393
2020-03-19,Germany,1042,8183,162947.770883221,119528.844462182,221216.416403218,33744.4140027271,24565.3455153221,45867.1593166633,0,13,36.8100864990088,23.1995096200689,55.6222963100745,8.26823528160379,5.8728004002653496,11.324382104338902,3.6564939053981,2.9771074960774704,4.3761787537997
2020-03-20,Germany,5940,14123,205471.596187801,149683.53431036,280374.610092131,42523.82530458,30154.689848178798,59158.193688913496,30,43,47.38098941659861,30.936070285916,69.70578073767629,10.570902917589901,7.736560665847139,14.0834844276018,3.6550069654425696,2.97624774466785,4.37408063321454
2020-03-21,Germany,4049,18172,259074.41566816802,186720.053335275,356585.31070126104,53602.819480367194,37036.5190249144,76210.7006091293,2,45,60.8591370018828,41.103243185938894,87.2405109699547,13.4781475852841,10.1671729000229,17.5347302322785,3.65312933271747,2.97515172660052,4.37133211568721
2020-03-22,Germany,3276,21448,272925.966313634,197702.839399289,374152.12536265,13851.5506454665,10982.786064014399,17566.8146613894,22,67,78.0034043296669,54.315004161884495,109.064455181837,17.1442673277841,13.2117609759457,21.8239442118819,0.7563070798053729,0.649440335774359,0.865083441278374
2020-03-23,Germany,3311,24759,289619.38213064,210831.55446093602,395461.89478782704,16693.4158170056,13128.715061646799,21309.7694251767,27,94,99.7597238618875,71.4782414808747,136.241064456556,21.7563195322206,17.1632373189901,27.1766092747193,0.756181738552967,0.649334386846045,0.864936941931525
2020-03-24,Germany,4438,29197,307945.571974377,225141.77143868103,418958.87317619706,18326.1898437376,14310.2169777452,23496.9783883702,32,126,127.299328969963,93.68921529766529,170.183956506542,27.539605108074998,22.2109738167906,33.9428920499861,0.7560307650818799,0.6492069551151091,0.8647660628391101
2020-03-25,Germany,2342,31539,326847.797520452,239899.73414298802,443292.56048021,18902.2255460743,14757.9627043067,24333.6873040137,23,149,161.98603464429,122.105677182078,212.26728626906,34.686705674327605,28.416461884412602,42.0833297625179,0.755865043700317,0.649067864843004,0.8645807705016321
2020-03-26,Germany,4954,36493,345667.751117834,254621.094568004,467490.050367624,18819.953597382,14721.360425016,24197.489887413198,49,198,205.328538569101,158.03624321100202,264.308253256149,43.3425039248106,35.9305660289236,52.04096698708901,0.755694082241938,0.648925727903575,0.8643895521177919
